0 0 -1
0 70 0
25 70 0
150 70 0
175 70 0
0 80 0
25 80 0
150 80 0
175 80 0
0 90 0
25 90 0
150 90 0
175 90 0
0 100 0
25 100 0
150 100 0
175 100 0
0 110 0
25 110 0
150 110 0
0 120 0
25 120 0
150 120 0
175 120 0
0 130 0
25 130 0
150 130 0
175 130 0
0 140 0
25 140 0
150 140 0
175 140 0
0 150 0
25 150 0
50 150 0
75 150 0
100 150 0
125 150 0
150 150 0
175 150 0
0 160 0
25 160 1
50 160 1
75 160 1
100 160 1
125 160 1
150 160 1
175 160 0
0 170 0
25 170 1
50 170 1
75 170 1
100 170 1
125 170 1
150 170 1
175 170 0
0 180 0
25 180 1
50 180 1
100 180 1
125 180 1
150 180 1
175 180 0
25 190 0
50 190 1
75 190 1
100 190 1
125 190 1
150 190 0
50 200 0
75 200 1
100 200 1
125 200 0
75 210 0
100 210 0
